,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,West Seattle,47.5709315,-122.3865166,Olympia Coffee,47.569383752797684,-122.38668232353346,Coffee Shop
1,West Seattle,47.5709315,-122.3865166,Meeples Games,47.57049552649381,-122.3870395300307,Gaming Cafe
2,West Seattle,47.5709315,-122.3865166,Prost - West Seattle,47.57349356885619,-122.38695929454755,Pub
3,West Seattle,47.5709315,-122.3865166,West Seattle Runner,47.570362547475675,-122.38709026643363,Sporting Goods Shop
4,West Seattle,47.5709315,-122.3865166,Spiro's Pizza & Pasta - West Seattle,47.57374402715254,-122.38695781300528,Pizza Place
5,West Seattle,47.5709315,-122.3865166,7-Eleven,47.5700166,-122.3871193,Convenience Store
6,West Seattle,47.5709315,-122.3865166,Domino's Pizza,47.574815781313305,-122.38641280147431,Pizza Place
7,West Seattle,47.5709315,-122.3865166,WestCity Kitchen,47.57359610843145,-122.38700226468173,American Restaurant
8,West Seattle,47.5709315,-122.3865166,equilibrium fitness,47.573665618896484,-122.38639831542969,Gym
9,West Seattle,47.5709315,-122.3865166,little knits,47.5749,-122.38703500000001,Arts & Crafts Store
10,West Seattle,47.5709315,-122.3865166,Oh’s Sandwiches,47.575025,-122.38703799999999,Sandwich Place
11,West Seattle,47.5709315,-122.3865166,Dakota Place Park,47.56684112548828,-122.38716888427734,Park
12,West Seattle,47.5709315,-122.3865166,barre3,47.57508928195679,-122.38676335086689,Gym / Fitness Center
13,West Seattle,47.5709315,-122.3865166,Small Clothes,47.575182,-122.387023,Kids Store
14,Beacon Hill,47.579271,-122.3117942,Tacos Chukis,47.57954485710303,-122.31159131110192,Taco Place
15,Beacon Hill,47.579271,-122.3117942,The Station,47.57996050178468,-122.31228549006548,Coffee Shop
16,Beacon Hill,47.579271,-122.3117942,Fresh Flours Bakery & Cafe,47.578702643269054,-122.31142699145133,Café
17,Beacon Hill,47.579271,-122.3117942,Milk Drunk,47.5785,-122.311386,Fried Chicken Joint
18,Beacon Hill,47.579271,-122.3117942,Perihelion Brewery,47.57848695959651,-122.31188903130347,Brewery
19,Beacon Hill,47.579271,-122.3117942,Despi Delite Bakery,47.57934704116261,-122.3136015814072,Bakery
20,Beacon Hill,47.579271,-122.3117942,Musang,47.580242,-122.31294,Filipino Restaurant
21,Beacon Hill,47.579271,-122.3117942,Homer,47.57670576175754,-122.30999759859748,Mediterranean Restaurant
22,Beacon Hill,47.579271,-122.3117942,Bar Del Corso,47.57547036774706,-122.30943950727587,Pizza Place
23,Beacon Hill,47.579271,-122.3117942,Oak,47.57642966463917,-122.30980314956732,Pub
24,Beacon Hill,47.579271,-122.3117942,Baja Bistro,47.58155456555108,-122.31425554156392,Mexican Restaurant
25,Beacon Hill,47.579271,-122.3117942,Shell,47.581352493880054,-122.31363261962068,Gas Station
26,Beacon Hill,47.579271,-122.3117942,Hilltop Red Apple Market,47.57917651372702,-122.31205374933707,Grocery Store
27,Beacon Hill,47.579271,-122.3117942,Sinclair,47.57695148,-122.3094027,Gas Station
28,Beacon Hill,47.579271,-122.3117942,12th Avenue South Viewpoint,47.57776942889467,-122.31746898851975,Scenic Lookout
29,Beacon Hill,47.579271,-122.3117942,Pippys Cafe,47.576774,-122.310176,Café
30,Beacon Hill,47.579271,-122.3117942,Yoga On Beacon,47.576595306396484,-122.31014251708984,Yoga Studio
31,Ravenna,47.6756537,-122.2976262,Zouave,47.675748362921844,-122.29875059429209,Mediterranean Restaurant
32,Ravenna,47.6756537,-122.2976262,Sunflour - Bryant Corner Cafe & Bakery,47.675873332531296,-122.2932870503538,Café
33,Ravenna,47.6756537,-122.2976262,Wataru,47.675887016835055,-122.30146384060687,Sushi Restaurant
34,Ravenna,47.6756537,-122.2976262,Salare,47.67587596657766,-122.30134296393688,New American Restaurant
35,Ravenna,47.6756537,-122.2976262,Junebaby,47.675829154443555,-122.3040588250999,Southern / Soul Food Restaurant
36,Ravenna,47.6756537,-122.2976262,Crepe Cafe & Wine Bar,47.675863155352474,-122.30426786652825,Creperie
37,Ravenna,47.6756537,-122.2976262,Ravenna's Varsity Restaurant,47.675860324066555,-122.3027105651027,American Restaurant
38,Ravenna,47.6756537,-122.2976262,Muddy Waters Espresso,47.6759072496117,-122.30287440809502,Coffee Shop
39,Ravenna,47.6756537,-122.2976262,Harissa Mediterranean Cuisine,47.67565989873754,-122.30338515099601,Mediterranean Restaurant
40,Ravenna,47.6756537,-122.2976262,Wedgwood Market,47.67716108910927,-122.29254533942782,Grocery Store
41,Ravenna,47.6756537,-122.2976262,The Center For Yoga of Seattle,47.675577000000004,-122.30318,Yoga Studio
42,Ravenna,47.6756537,-122.2976262,Ridge Pizza NE,47.676068,-122.292106,Pizza Place
43,Ravenna,47.6756537,-122.2976262,Lucinda Grain Bar,47.675959999999996,-122.304231,Southern / Soul Food Restaurant
44,Columbia City,47.5579124,-122.2852162,Geraldine's Counter,47.557933909603804,-122.28494587146723,Diner
45,Columbia City,47.5579124,-122.2852162,Tutta Bella Neapolitan Pizzeria,47.557151903347275,-122.28460972897362,Pizza Place
46,Columbia City,47.5579124,-122.2852162,Columbia City Bakery,47.558261301030136,-122.28535667425732,Bakery
47,Columbia City,47.5579124,-122.2852162,Columbia City Ale House,47.557431502191776,-122.2846250569044,Pub
48,Columbia City,47.5579124,-122.2852162,Empire Espresso,47.55853482808951,-122.2842837618607,Coffee Shop
49,Columbia City,47.5579124,-122.2852162,Super Six,47.55713696687943,-122.28551648947287,Gastropub
50,Columbia City,47.5579124,-122.2852162,Island Soul Caribbean Bar and Cuisine,47.55813901839223,-122.28529369550688,Caribbean Restaurant
51,Columbia City,47.5579124,-122.2852162,Flying Lion Brewing,47.55607737024073,-122.28431863767786,Brewery
52,Columbia City,47.5579124,-122.2852162,Columbia City Theater,47.55727496355387,-122.28448235376217,Music Venue
53,Columbia City,47.5579124,-122.2852162,Ark Lodge Cinema,47.559091251050226,-122.28540778167664,Indie Movie Theater
54,Columbia City,47.5579124,-122.2852162,Coffeeholic House,47.557157,-122.285951,Coffee Shop
55,Columbia City,47.5579124,-122.2852162,Full Tilt Ice Cream,47.55606162485968,-122.28425979587568,Ice Cream Shop
56,Columbia City,47.5579124,-122.2852162,La Medusa,47.55848590327292,-122.28546572409248,Italian Restaurant
57,Columbia City,47.5579124,-122.2852162,Seattle Gymnastics Academy Columbia City,47.556101862408234,-122.28549624917213,Gymnastics Gym
58,Columbia City,47.5579124,-122.2852162,La Teranga,47.557672242194045,-122.28507419561534,African Restaurant
